id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
76,a,,,3.8,800,249.0,0,0.0,-2,2.0,0.2,386,144.0,0,0,0.0,525.0,192.0,0,0,0.0,420.0,162.0,0.0,0.0,0.0,13866,121,18149,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,192.0,0.0,501.0,190.0,0.0,461.0,181.0,0.0,517.0,192.0,,,,26,,Owen,Bevan,Bevan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
77,a,,,4.0,685,173.0,1,-1.0,0,0.0,2.7,112,45.0,59,9,3.5,115.0,42.0,2,184,6.2,9.0,1.0,1.6,14.8,0.0,385066,51140,135957,293,6.2,6.2,0.23,0.76,0.98,14.77,0.02,0.07,0.09,1.3,310.2,153.0,68.0,69.3,289.0,94.0,59.0,291.0,86.0,44.0,249.0,84.0,,,,26,,James,Hill,Hill,,,1022,0,3,3,15,0,0,0,2,0,0,10,141,,,,0.0,0.26,1.32,0.88,11.62,21,111,30
78,u,0.0,0.0,3.8,792,241.0,0,0.0,-2,2.0,0.5,252,94.0,0,0,0.0,519.0,186.0,0,0,0.0,413.0,155.0,0.0,0.0,0.0,47440,0,129758,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.0,186.0,0.0,495.0,184.0,0.0,455.0,175.0,0.0,511.0,186.0,,,,26,,Julián,Araujo Zúñiga,J.Araujo,has joined Celtic on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
79,u,0.0,0.0,4.0,671,167.0,0,0.0,0,0.0,0.1,543,195.0,0,0,0.0,578.0,213.0,0,0,0.0,478.0,187.0,0.0,0.0,0.0,1400,0,16620,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,213.0,0.0,560.0,213.0,0.0,523.0,207.0,0.0,570.0,213.0,,,,26,,Chris,Mepham,Mepham,has joined West Bromwich Albion permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
80,i,0.0,0.0,4.0,714,192.0,0,0.0,0,0.0,0.2,373,135.0,3,0,1.0,451.0,165.0,0,2,0.0,516.0,207.0,0.0,0.8,0.0,17287,5,32042,107,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0,4.29,1.8,483.0,173.0,2.5,448.0,163.0,2.0,430.0,161.0,0.6,482.0,170.0,,,,26,,Julio,Soler Barreto,Soler,Hamstring injury - Expected back 01 Jun,,34,0,0,0,2,0,0,0,0,0,0,0,1,,,,0.0,0.0,5.29,0.0,2.65,1,0,4
81,i,0.0,0.0,7.0,36,22.0,0,0.0,0,0.0,0.6,230,79.0,40,0,2.2,308.0,135.0,3,147,0.0,812.0,365.0,0.0,5.7,0.0,190079,13,248665,201,0.0,0.0,2.24,1.54,3.78,16.78,0.22,0.15,0.37,1.65,146.6,285.0,127.0,304.1,76.0,58.0,128.0,200.0,110.0,57.8,191.0,101.0,4.0,2.0,1.0,26,,Justin,Kluivert,Kluivert,Knee injury - Expected back 09 May,,914,2,0,4,18,0,0,0,4,0,0,10,62,,,,0.0,0.39,1.77,0.98,6.11,10,8,44
84,i,0.0,0.0,5.3,191,118.0,0,0.0,-2,2.0,1.1,183,61.0,94,0,4.3,43.0,22.0,8,341,1.6,229.0,96.0,0.3,17.7,0.0,839323,30,789171,1579,0.0,0.0,5.12,2.43,7.55,27.43,0.26,0.12,0.38,1.4,421.0,77.0,25.0,439.9,30.0,29.0,330.0,55.0,33.0,119.3,37.0,28.0,2.0,1.0,4.0,26,,Marcus,Tavernier,Tavernier,Hamstring injury - Expected back 28 Feb,,1762,5,3,7,36,0,0,0,3,0,0,20,164,,,,0.0,0.36,1.84,1.02,8.38,27,44,93
85,a,100.0,50.0,4.9,301,188.0,0,0.0,-1,1.0,0.3,336,114.0,50,0,3.3,140.0,62.0,3,245,0.0,721.0,304.0,0.0,10.2,0.0,76920,52,92173,43,0.0,0.0,0.56,0.32,0.88,17.78,0.04,0.02,0.06,1.34,266.2,194.0,80.0,74.0,286.0,166.0,105.0,223.0,123.0,44.7,244.0,122.0,,,,26,,Tyler,Adams,Adams,,,1196,2,1,4,23,0,0,0,5,0,0,15,146,,,,0.0,0.3,1.73,1.13,10.99,35,50,61
86,a,100.0,100.0,5.0,244,149.0,0,0.0,0,0.0,0.2,393,131.0,44,0,2.1,313.0,137.0,4,172,0.2,391.0,174.0,0.0,8.8,0.0,71099,121,77002,68,0.2,0.2,4.41,2.8,7.21,14.15,0.42,0.27,0.69,1.35,192.8,252.0,106.0,298.0,81.0,60.0,381.0,36.0,21.0,85.7,94.0,57.0,5.0,3.0,,26,,David,Brooks,Brooks,,,945,1,2,4,17,0,0,0,7,0,0,11,74,,,,0.0,0.38,1.62,1.05,7.05,15,15,44
87,a,100.0,100.0,4.9,292,182.0,0,0.0,-1,1.0,0.1,561,206.0,24,2,1.5,408.0,180.0,0,107,1.2,259.0,111.0,0.2,4.9,0.0,8889,70,15139,21,1.2,1.2,1.39,0.39,1.78,9.79,0.28,0.08,0.36,1.94,114.0,323.0,146.0,124.2,206.0,137.0,129.0,196.0,108.0,36.9,279.0,137.0,,,,26,,Ryan,Christie,Christie,,,454,1,1,0,10,0,0,0,1,0,0,2,51,,,,0.0,0.0,1.98,0.4,10.11,11,14,26
