id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
25,Ethan,Nwaneri,Nwaneri,u,has joined Marseille on loan for the rest of the season.,,5.0,270,163.0,0.1,433,146.0,0.0,742.0,320.0,0,0,0.0,-5,5.0,0,413,0.0,1.6,0.0,0.0,1.3,416.0,186.0,0.0,0.0,444.0,200.0,370.0,190.0,347.0,180.0,425.0,191.0,,,,,,,,0.13,0.04,0.17,0.4,0.0,0.55,0.0,0.0,7.09,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,Séamus,Coleman,Coleman,a,,,4.2,620,142.0,0.1,484,174.0,0.0,535.0,227.0,0,0,0.0,-3,3.0,116,48,0.0,0.7,0.0,0.0,1.0,440.0,164.0,100.0,100.0,610.0,244.0,466.0,171.0,570.0,240.0,611.0,244.0,,,,,,,,0.0,0.0,0.0,1.96,0.0,0.0,0.0,8.18,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,Mark,Travers,Travers,a,,,4.3,577,28.0,0.1,454,70.0,0.0,555.0,83.0,0,0,0.0,-2,2.0,92,101,0.0,0.0,0.0,0.0,0.0,627.0,87.0,,,618.0,87.0,614.0,79.0,585.0,66.0,619.0,87.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,Adama,Traoré Diarra,Adama,a,,,5.1,227,140.0,0.1,417,140.0,0.6,312.0,138.0,0,0,0.0,-4,4.0,521,266,0.1,3.3,0.6,0.6,1.1,429.0,193.0,,,429.0,191.0,286.0,165.0,285.0,150.0,375.0,175.0,,,,,,,,0.07,0.19,0.26,1.69,0.0,0.0,2.41,0.34,4.83,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
802,Keiber,Lamadrid,Lamadrid,a,,,5.0,279,171.0,0.0,797,354.0,0.0,746.0,323.0,0,0,0.0,0,0.0,59,9,0.0,0.0,1.8,1.8,0.0,776.0,340.0,,,776.0,340.0,774.0,340.0,767.0,337.0,775.0,339.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,Andreas,Hoelgebaum Pereira,Andreas,u,has joined Palmeiras permanently.,,5.3,188,115.0,0.1,550,200.0,0.0,762.0,336.0,0,0,0.0,-2,2.0,0,12,0.0,0.0,0.0,0.0,0.0,782.0,344.0,0.0,0.0,782.0,344.0,781.0,344.0,776.0,343.0,782.0,344.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,Ryan,Sessegnon,Sessegnon,a,,,5.4,164,102.0,0.2,399,135.0,1.0,290.0,129.0,1,0,0.0,-1,1.0,243,804,0.2,11.3,1.0,1.0,3.8,90.0,40.0,100.0,100.0,172.0,68.0,191.0,127.0,159.0,92.0,187.0,98.0,,,,,,,,0.07,0.1,0.17,1.28,0.0,0.3,1.55,1.03,10.34,23,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,935.0,1040.0,0.0,0.0,0.0,0.0,0.3200000000000003,13.800000000000011,0.4000000000000057,0.0,1.3999999999999986,1.0,5.0,1.0,7.0
740,Stephen,Mfuni,Mfuni,a,,,3.9,767,225.0,0.0,605,217.0,0.0,461.0,180.0,0,0,0.0,-1,1.0,34,82,0.0,0.0,0.5,0.5,0.0,548.0,200.0,,,539.0,200.0,530.0,200.0,493.0,192.0,539.0,199.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746,Kieran,Morrison,Morrison,a,,,4.5,484,297.0,0.0,734,313.0,0.0,668.0,266.0,0,0,0.0,0,0.0,19,27,0.0,0.0,0.5,0.5,0.0,722.0,300.0,,,721.0,299.0,716.0,299.0,698.0,293.0,720.0,298.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
771,Tyler,Fletcher,Fletcher,a,,,4.4,542,325.0,0.0,757,328.0,0.0,596.0,214.0,0,-1,1.0,-1,1.0,34,73,0.0,0.0,0.0,-1.0,0.0,660.0,256.0,,,652.0,248.0,649.0,253.0,623.0,241.0,653.0,249.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
