id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
8,a,100.0,100.0,6.3,69,2.0,0,0.0,8,-8.0,27.4,11,4.0,104,6,5.2,12.0,4.0,7,374,4.3,47.0,14.0,0.7,16.5,0.0,5454290,82285,2733473,52372,5.3,4.8,4.06,0.85,4.91,11.22,0.22,0.05,0.27,0.62,375.0,71.0,31.0,277.2,66.0,13.0,315.0,42.0,1.0,97.0,41.0,3.0,,,,21,,Jurriën,Timber,J.Timber,,,1639,2,4,9,12,0,0,0,2,0,0,18,134,,,,0.0,0.49,0.66,0.99,5.71,46,58,66
17,a,100.0,100.0,7.8,17,12.0,0,0.0,-2,2.0,2.5,117,39.0,48,3,3.2,164.0,72.0,5,204,4.8,30.0,16.0,0.6,6.2,0.0,340025,12201,486121,8422,5.8,5.3,0.87,2.13,3.0,10.67,0.09,0.22,0.31,1.1,216.4,190.0,81.0,376.3,32.0,31.0,130.0,149.0,88.0,72.3,87.0,53.0,4.0,,3.0,21,,Martin,Ødegaard,Ødegaard,,,870,1,3,4,8,0,0,0,0,0,0,11,69,,,,0.0,0.41,0.83,1.14,7.14,14,12,43
18,a,100.0,100.0,6.8,45,28.0,0,0.0,-2,2.0,0.7,222,77.0,20,1,1.7,362.0,160.0,0,76,0.7,331.0,149.0,0.1,2.9,0.0,210629,777,278522,1681,1.7,1.2,0.54,1.39,1.93,6.87,0.1,0.25,0.35,1.22,58.8,364.0,161.0,159.3,144.0,99.0,175.0,106.0,63.0,39.3,225.0,113.0,3.0,,,21,,Noni,Madueke,Madueke,,,505,0,0,3,5,0,0,0,0,0,0,6,27,,,,0.0,0.53,0.89,1.07,4.81,6,7,14
19,a,100.0,100.0,6.8,46,29.0,0,0.0,-2,2.0,0.8,195,66.0,28,0,1.8,350.0,154.0,1,86,1.2,282.0,127.0,0.2,4.1,0.0,134722,1523,217834,1604,2.2,1.7,1.99,0.18,2.17,5.36,0.36,0.03,0.39,0.96,70.2,348.0,154.0,66.0,267.0,159.0,172.0,112.0,65.0,30.3,282.0,138.0,,,,21,,Gabriel,Martinelli Silva,Martinelli,,,500,1,1,2,3,0,0,0,2,0,0,6,27,,,,0.0,0.36,0.54,1.08,4.86,5,4,18
20,a,100.0,100.0,6.9,41,25.0,-1,1.0,-1,1.0,1.8,145,50.0,80,2,4.7,30.0,13.0,9,274,3.7,88.0,40.0,0.5,11.6,0.0,425904,8327,261835,16985,4.7,4.2,4.17,2.04,6.21,8.24,0.33,0.16,0.49,0.66,334.8,97.0,31.0,322.8,45.0,39.0,351.0,35.0,21.0,101.0,37.0,28.0,,,4.0,21,,Leandro,Trossard,Trossard,,,1128,5,4,6,9,0,0,0,1,0,0,12,71,,,,0.0,0.48,0.72,0.96,5.66,14,12,45
23,u,0.0,0.0,5.4,169,105.0,0,0.0,-1,1.0,0.0,664,274.0,0,0,0.0,775.0,341.0,0,0,0.0,764.0,337.0,0.0,0.0,0.0,933,0,4380,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,775.0,341.0,0.0,774.0,341.0,0.0,770.0,340.0,0.0,775.0,341.0,,,,21,,Fábio,Ferreira Vieira,Fábio Vieira,has joined Hamburger on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
24,a,100.0,100.0,5.1,225,138.0,0,0.0,-4,4.0,0.1,426,142.0,3,0,1.0,467.0,218.0,0,11,0.2,408.0,189.0,0.0,0.6,0.0,6250,106,59538,185,1.2,0.7,0.05,0.0,0.05,2.16,0.15,0.0,0.15,6.27,14.6,430.0,193.0,0.4,451.0,219.0,7.0,390.0,193.0,2.3,441.0,200.0,,,,21,,Christian,Nørgaard,Nørgaard,,,31,0,0,0,1,0,0,0,0,0,0,0,8,,,,0.0,0.0,2.9,0.0,23.23,0,5,3
26,a,100.0,100.0,5.2,216,133.0,0,0.0,-3,3.0,2.2,126,42.0,77,5,3.7,104.0,44.0,5,360,3.7,81.0,36.0,0.7,14.8,0.0,721461,3647,759374,6415,4.7,4.2,1.87,1.45,3.32,14.59,0.1,0.07,0.17,0.74,374.8,72.0,22.0,291.2,62.0,50.0,144.0,132.0,78.0,81.2,72.0,46.0,,,,21,,Martín,Zubimendi Ibáñez,Zubimendi,,,1770,3,1,10,13,0,0,0,4,0,0,20,181,,,,0.0,0.51,0.66,1.02,9.2,38,71,72
28,u,0.0,0.0,4.5,475,290.0,0,0.0,0,0.0,0.1,465,156.0,0,0,0.0,707.0,291.0,0,0,0.0,665.0,266.0,0.0,0.0,0.0,6731,0,29886,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.0,290.0,0.0,701.0,290.0,0.0,685.0,285.0,0.0,706.0,290.0,,,,21,,Ismeal,Kabia,Kabia,has joined Shrewsbury Town on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
29,u,0.0,0.0,4.5,417,249.0,0,0.0,0,0.0,0.1,568,207.0,0,0,0.0,670.0,261.0,0,0,0.0,626.0,234.0,0.0,0.0,0.0,2952,0,13912,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.0,256.0,0.0,662.0,259.0,0.0,641.0,250.0,0.0,667.0,258.0,,,,21,,Albert,Sambi Lokonga,Sambi,has joined Hamburger permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
30,a,100.0,100.0,7.3,25,9.0,0,0.0,-2,2.0,0.3,294,50.0,1,0,1.0,478.0,59.0,0,4,0.0,792.0,87.0,0.0,0.1,0.0,12161,667,112266,347,1.0,0.5,0.0,0.01,0.01,0.82,0.0,0.03,0.03,2.46,2.8,457.0,52.0,0.8,444.0,54.0,2.0,425.0,58.0,0.6,463.0,57.0,,,,21,,Kai,Havertz,Havertz,,,30,0,0,0,0,0,0,0,0,0,0,0,3,,,,0.0,0.0,0.0,0.0,9.0,0,1,2
31,a,100.0,100.0,6.4,56,20.0,0,0.0,-1,1.0,0.3,335,55.0,9,1,1.5,388.0,44.0,0,39,1.5,256.0,29.0,0.2,1.4,0.0,48034,2462,30260,3292,2.5,2.0,0.47,0.03,0.5,2.65,0.36,0.02,0.38,2.06,53.6,375.0,39.0,6.5,413.0,50.0,94.0,208.0,40.0,15.3,354.0,41.0,,,,21,,Gabriel,Fernando de Jesus,G.Jesus,,,116,1,0,0,3,0,0,0,1,0,0,0,14,,,,0.0,0.0,2.33,0.0,10.86,4,3,7
266,a,,,7.3,27,18.0,-1,1.0,-2,2.0,9.2,49,18.0,67,1,4.2,64.0,29.0,6,258,0.3,375.0,171.0,0.0,9.2,0.0,3221041,2169,3459857,53880,1.3,0.8,2.54,1.41,3.95,6.06,0.23,0.13,0.36,0.54,252.6,169.0,65.0,158.8,146.0,101.0,281.0,52.0,33.0,69.2,98.0,56.0,,,,21,,Eberechi,Eze,Eze,,,1003,4,3,6,6,0,0,0,0,0,0,12,65,,,,0.0,0.54,0.54,1.08,5.83,11,13,41
