id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
446,a,,,3.8,804,253.0,0,0.0,-2,2.0,0.1,431,159.0,1,0,1.0,445.0,162.0,0,4,0.0,419.0,164.0,0.0,0.3,0.0,10301,2,14303,11,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,13.5,4.0,471.0,170.0,0.0,504.0,193.0,0.0,464.0,184.0,0.4,484.0,171.0,,,,26,,Tyler,Fredricson,Fredricson,,,2,0,0,0,0,0,0,0,0,0,0,0,2,,,,0.0,0.0,0.0,0.0,90.0,0,2,0
745,a,,,4.0,731,208.0,0,0.0,0,0.0,0.0,632,224.0,1,0,1.0,452.0,168.0,0,3,0.2,364.0,133.0,0.0,0.2,0.0,1829,9,1668,10,-0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,496.0,177.0,0.5,468.0,172.0,0.0,574.0,239.0,0.1,500.0,178.0,,,,26,,Jun'ai,Byfield,Byfield,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
750,a,,,4.0,695,179.0,0,0.0,0,0.0,0.0,657,229.0,0,0,0.0,597.0,221.0,0,0,0.0,495.0,195.0,0.0,0.0,0.0,1532,10,1260,9,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,221.0,0.0,580.0,221.0,0.0,543.0,215.0,0.0,590.0,221.0,,,,26,,James,Rowswell,Rowswell,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
456,a,100.0,100.0,5.8,107,68.0,0,0.0,-2,2.0,0.2,349,117.0,22,0,1.6,393.0,175.0,0,87,1.6,205.0,88.0,0.3,3.8,0.0,45182,166,45456,54,1.6,1.6,0.49,0.84,1.33,8.04,0.09,0.15,0.24,1.41,79.6,359.0,161.0,144.9,189.0,126.0,141.0,174.0,97.0,36.8,282.0,139.0,,,,26,,Jadon,Sancho,Sancho,,,512,0,1,1,4,0,0,0,0,0,0,5,29,,,,0.0,0.18,0.7,0.88,5.1,4,11,14
688,a,,,3.9,764,83.0,0,0.0,-1,1.0,0.6,235,32.0,0,0,0.0,551.0,51.0,0,0,0.0,446.0,42.0,0.0,0.0,0.0,59677,34,42570,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,51.0,0.0,531.0,36.0,0.0,492.0,22.0,0.0,544.0,51.0,,,,26,,James,Wright,Wright,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
614,a,100.0,100.0,5.6,123,76.0,0,0.0,-4,4.0,0.2,390,129.0,11,0,2.2,304.0,133.0,0,82,0.0,792.0,351.0,0.0,2.0,0.0,16848,16,46497,21,0.0,0.0,0.13,0.91,1.04,7.27,0.03,0.2,0.23,1.58,56.6,393.0,174.0,176.3,161.0,112.0,6.0,417.0,203.0,23.9,339.0,163.0,,,,26,,James,Ward-Prowse,Ward-Prowse,,,414,0,0,1,11,0,0,0,0,0,0,5,22,,,,0.0,0.22,2.39,1.09,4.78,4,9,9
756,a,,,4.5,515,318.0,0,0.0,0,0.0,0.0,743,315.0,0,0,0.0,750.0,318.0,0,0,0.0,693.0,284.0,0.0,0.0,0.0,1500,7,906,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,318.0,0.0,744.0,318.0,0.0,728.0,312.0,0.0,750.0,318.0,,,,26,,Malcom,DaCosta,DaCosta,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
782,a,,,4.0,658,40.0,0,0.0,0,0.0,0.0,686,80.0,0,0,0.0,569.0,62.0,0,0,0.0,465.0,53.0,0.0,0.0,0.0,1982,15,518,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,62.0,0.0,549.0,47.0,0.0,511.0,33.0,0.0,562.0,62.0,,,,26,,Fraser,Forster,Forster,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
799,a,,,4.5,512,315.0,0,0.0,0,0.0,0.0,788,346.0,0,0,0.0,748.0,316.0,0,0,0.0,690.0,281.0,0.0,0.0,0.0,366,5,84,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.0,316.0,0.0,742.0,316.0,0.0,725.0,309.0,0.0,748.0,316.0,,,,26,,Charlie,Stevens,Stevens,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
801,a,,,5.0,281,175.0,0,0.0,0,0.0,0.0,762,327.0,3,1,1.0,491.0,227.0,0,10,0.8,279.0,119.0,0.2,0.6,0.0,753,13,250,6,0.8,0.8,0.06,0.08,0.14,2.31,0.08,0.11,0.19,3.15,6.0,466.0,210.0,23.2,377.0,194.0,8.0,407.0,198.0,3.7,447.0,202.0,,,,26,,Alex,Tóth,Tóth.A,,,66,0,0,0,1,0,0,0,0,0,0,1,8,,,,0.0,0.0,1.36,1.36,10.91,1,2,5
806,a,,,4.0,676,50.0,0,0.0,0,0.0,0.0,778,88.0,0,0,0.0,582.0,69.0,0,0,0.0,479.0,61.0,0.0,0.0,0.0,392,2,101,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0,69.0,0.0,565.0,57.0,0.0,528.0,43.0,0.0,575.0,69.0,,,,26,,Christos,Mandas,Mandas,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
139,a,,,4.5,445,25.0,0,0.0,0,0.0,5.6,65,11.0,77,0,3.1,171.0,15.0,4,399,1.8,180.0,17.0,0.4,17.1,0.0,659597,334,808428,564,1.8,1.8,0.0,0.04,0.04,35.37,0.0,0.0,0.0,1.41,628.2,14.0,3.0,10.0,418.0,7.0,0.0,674.0,77.0,63.8,162.0,3.0,,,,26,,Bart,Verbruggen,Verbruggen,,,2250,0,0,5,33,1,1,0,3,0,70,25,102,,,,2.8,0.2,1.32,1.0,0.0,1,21,224
140,a,,,3.9,749,77.0,0,0.0,-1,1.0,0.3,312,42.0,0,0,0.0,542.0,45.0,0,0,0.0,437.0,36.0,0.0,0.0,0.0,17307,16,27170,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,45.0,0.0,522.0,30.0,0.0,483.0,16.0,0.0,535.0,45.0,,,,26,,Tom,McGill,McGill,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
161,u,0.0,0.0,5.4,176,108.0,0,0.0,-1,1.0,0.0,742,314.0,0,0,0.0,800.0,354.0,0,0,0.0,783.0,344.0,0.0,0.0,0.0,105,0,2950,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,354.0,0.0,799.0,354.0,0.0,797.0,353.0,0.0,800.0,354.0,,,,26,,Julio,Enciso Espínola,Enciso,has joined Strasbourg permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
162,u,0.0,0.0,5.4,181,112.0,0,0.0,-1,1.0,0.1,582,217.0,35,0,1.9,348.0,156.0,2,114,0.4,349.0,160.0,0.1,6.5,0.0,16799,0,19170,23,0.0,0.0,1.86,0.88,2.74,13.82,0.24,0.11,0.35,1.76,134.4,302.0,136.0,217.1,125.0,87.0,152.0,157.0,90.0,50.0,221.0,111.0,,,,26,,Brajan,Gruda,Gruda,has joined Leipzig on loan for the rest of the season.,,708,1,1,2,11,0,0,0,2,0,0,8,58,,,,0.0,0.25,1.4,1.02,7.37,14,4,40
744,a,,,4.5,471,285.0,0,0.0,0,0.0,0.0,713,299.0,1,0,1.0,472.0,212.0,0,3,0.0,653.0,254.0,0.0,0.2,0.0,2559,6,1816,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0,292.0,0.0,711.0,293.0,0.0,691.0,283.0,0.0,717.0,293.0,,,,26,,Nehemiah,Oriola,Oriola,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
761,a,,,4.0,724,201.0,0,0.0,0,0.0,0.0,724,250.0,0,0,0.0,621.0,238.0,0,0,0.0,522.0,215.0,0.0,0.0,0.0,773,5,539,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,238.0,0.0,604.0,238.0,0.0,568.0,233.0,0.0,614.0,238.0,,,,26,,Freddie,Simmonds,Simmonds,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
783,a,,,5.5,135,83.0,0,0.0,0,0.0,0.1,500,177.0,21,0,3.5,123.0,56.0,4,104,3.8,44.0,21.0,0.7,3.8,0.0,16353,86,5774,74,3.8,3.8,0.49,1.12,1.61,6.67,0.09,0.22,0.31,1.29,114.2,322.0,145.0,178.6,158.0,110.0,61.0,289.0,156.0,35.2,290.0,143.0,,,,26,,Pascal,Groß,Groß,,,466,1,0,1,4,0,0,0,2,0,0,5,48,,,,0.0,0.19,0.77,0.97,9.27,8,16,24
795,a,,,4.5,493,302.0,0,0.0,0,0.0,0.0,781,340.0,2,0,2.0,323.0,142.0,0,6,0.4,335.0,147.0,0.1,0.4,0.0,409,9,99,1,0.4,0.4,0.0,0.02,0.02,0.79,0.0,0.03,0.03,1.02,6.0,463.0,207.0,3.8,444.0,214.0,0.0,711.0,298.0,1.0,475.0,219.0,,,,26,,Harry,Howell,Howell,,,70,0,0,0,1,0,0,0,0,0,0,1,3,,,,0.0,0.0,1.29,1.29,3.86,0,2,1
220,a,100.0,100.0,4.9,311,12.0,0,0.0,-1,1.0,15.1,22,3.0,93,1,3.7,96.0,10.0,7,415,3.8,42.0,3.0,0.8,19.0,0.0,1633833,1339,2624966,3154,3.8,3.8,0.0,0.04,0.04,33.65,0.0,0.0,0.0,1.4,587.2,22.0,6.0,50.0,329.0,1.0,0.0,752.0,86.0,63.3,163.0,4.0,,,,26,,Robert,Lynch Sánchez,Sánchez,,,2164,0,1,9,29,0,0,0,2,1,65,25,89,,,,2.7,0.37,1.21,1.04,0.0,0,19,217
221,d,75.0,75.0,4.3,602,29.0,0,0.0,-2,2.0,0.2,398,58.0,3,0,1.5,400.0,30.0,0,18,0.0,561.0,84.0,0.0,0.7,0.0,14935,5,26306,26,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,1.44,28.2,427.0,30.0,0.0,632.0,81.0,0.0,603.0,69.0,2.8,456.0,30.0,,,,26,,Filip,Jörgensen,Jörgensen,Knock - 75% chance of playing,,174,0,0,0,3,0,0,0,0,0,3,1,7,,,,1.55,0.0,1.55,0.52,0.0,0,2,14
222,u,0.0,0.0,4.0,709,64.0,0,0.0,0,0.0,0.0,790,89.0,0,0,0.0,608.0,83.0,0,0,0.0,507.0,75.0,0.0,0.0,0.0,0,0,339,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.0,83.0,0.0,591.0,71.0,0.0,555.0,57.0,0.0,601.0,83.0,,,,26,,Mike,Penders,Penders,Has joined RC Strasbourg on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
223,a,,,3.9,761,82.0,0,0.0,-1,1.0,0.1,460,70.0,0,0,0.0,550.0,50.0,0,0,0.0,445.0,41.0,0.0,0.0,0.0,9835,1,12198,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.0,50.0,0.0,530.0,35.0,0.0,491.0,21.0,0.0,543.0,50.0,,,,26,,Gabriel,Słonina,Slonina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
224,a,100.0,100.0,6.1,80,3.0,0,0.0,1,-1.0,17.5,20,7.0,90,1,3.8,93.0,34.0,5,409,4.2,27.0,8.0,0.7,14.8,0.0,2713198,3065,3198437,2970,4.2,4.2,1.64,2.73,4.37,27.63,0.08,0.13,0.21,1.32,431.6,73.0,31.0,384.9,45.0,4.0,194.0,117.0,20.0,101.0,60.0,11.0,,,,26,,Marc,Cucurella Saseta,Cucurella,,,1885,1,3,9,21,0,0,0,5,1,0,22,178,,,,0.0,0.43,1.0,1.05,6.73,44,97,85
