last_rank,league_entry,matches_drawn,matches_lost,matches_played,matches_won,points_against,points_for,rank,rank_sort,total
,115143,0,0,0,0,0,0,,,0
,115580,0,0,0,0,0,0,,,0
,115586,0,0,0,0,0,0,,,0
,133926,0,0,0,0,0,0,,,0
,134096,0,0,0,0,0,0,,,0
,137781,0,0,0,0,0,0,,,0
,199836,0,0,0,0,0,0,,,0
,200030,0,0,0,0,0,0,,,0
,230074,0,0,0,0,0,0,,,0
,236125,0,0,0,0,0,0,,,0
