id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
238,a,100.0,100.0,6.4,63,41.0,0,0.0,-1,1.0,1.9,135,46.0,39,0,2.3,285.0,126.0,2,131,1.2,274.0,121.0,0.2,6.1,0.0,682430,935,716063,585,1.2,1.2,2.34,2.06,4.4,7.44,0.35,0.31,0.66,1.11,120.4,292.0,132.0,189.0,125.0,91.0,233.0,73.0,45.0,54.1,174.0,95.0,4.0,,3.0,23,,Estêvão,Almeida de Oliveira Gonçalves,Estêvão,,,602,1,4,2,8,0,0,0,3,0,0,8,42,,,,0.0,0.3,1.2,1.2,6.28,9,5,28
239,a,100.0,100.0,6.0,87,56.0,0,0.0,-5,5.0,0.1,456,155.0,23,0,1.6,379.0,170.0,0,93,0.3,363.0,162.0,0.0,3.8,0.0,16728,27,40206,24,0.3,0.3,0.81,0.94,1.75,7.61,0.16,0.19,0.35,1.54,93.0,327.0,142.0,128.8,179.0,118.0,91.0,223.0,123.0,31.2,287.0,140.0,,,,23,,Jamie,Bynoe-Gittens,Gittens,,,445,0,2,1,5,0,0,0,0,0,0,4,29,,,,0.0,0.2,1.01,0.81,5.87,8,6,15
240,u,0.0,0.0,5.9,97,62.0,0,0.0,-1,1.0,0.1,500,176.0,0,0,0.0,792.0,354.0,0,0,0.0,787.0,352.0,0.0,0.0,0.0,2668,0,23620,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.0,354.0,0.0,792.0,354.0,0.0,792.0,354.0,0.0,792.0,354.0,,,,23,,Christopher,Nkunku,Nkunku,has joined AC Milan permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
241,a,100.0,100.0,5.7,122,77.0,0,0.0,2,-2.0,8.0,52,19.0,74,0,4.4,46.0,20.0,9,338,2.2,186.0,76.0,0.4,13.0,0.0,3130329,3160,3038312,1270,2.2,2.2,0.89,1.0,1.89,22.8,0.06,0.06,0.12,1.43,394.6,68.0,20.0,196.8,121.0,88.0,85.0,233.0,127.0,67.4,117.0,63.0,,,,23,,Moisés,Caicedo Corozo,Caicedo,,,1432,3,1,5,20,0,0,0,5,1,0,16,211,,,,0.0,0.31,1.26,1.01,13.26,50,64,97
243,a,,,4.8,371,234.0,0,0.0,-2,2.0,0.1,553,202.0,4,0,1.0,467.0,219.0,0,2,0.0,701.0,292.0,0.0,0.8,0.0,6192,9,8723,9,0.0,0.0,0.32,0.08,0.4,1.65,0.2,0.05,0.25,1.05,8.2,443.0,202.0,7.0,417.0,205.0,56.0,282.0,150.0,7.1,412.0,186.0,,,,23,,Tyrique,George,George,,,142,0,0,1,2,0,0,0,2,0,0,0,3,,,,0.0,0.63,1.27,0.0,1.9,2,0,1
244,i,0.0,0.0,4.9,337,209.0,0,0.0,-1,1.0,0.0,685,288.0,4,0,1.0,470.0,221.0,0,22,0.0,722.0,306.0,0.0,0.8,0.0,2514,0,4504,0,0.0,0.0,0.0,0.05,0.05,2.79,0.0,0.04,0.04,2.39,9.6,439.0,198.0,7.5,414.0,203.0,2.0,428.0,213.0,1.8,449.0,205.0,,,,23,,Roméo,Lavia,Lavia,Thigh injury - Unknown return date,,105,0,0,0,3,0,0,0,0,0,0,1,11,,,,0.0,0.0,2.57,0.86,9.43,2,5,4
245,s,0.0,0.0,4.9,328,203.0,0,0.0,-1,1.0,0.0,728,311.0,0,0,0.0,755.0,327.0,0,0,0.0,720.0,305.0,0.0,0.0,0.0,870,5,1193,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.0,326.0,0.0,750.0,326.0,0.0,742.0,324.0,0.0,754.0,326.0,,,,23,,Mykhailo,Mudryk,Mudryk,Suspended - unknown return date,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
246,a,100.0,100.0,4.5,453,274.0,0,0.0,0,0.0,0.3,319,106.0,19,0,1.2,422.0,190.0,0,85,0.7,309.0,140.0,0.2,4.2,0.0,65827,47,74101,98,0.7,0.7,1.7,0.5,2.2,8.31,0.28,0.08,0.36,1.37,90.6,330.0,144.0,93.1,227.0,140.0,59.0,277.0,147.0,24.2,316.0,152.0,,,,23,,Andrey,Nascimento dos Santos,Andrey Santos,,,544,0,0,1,5,0,0,0,3,0,0,5,69,,,,0.0,0.17,0.83,0.83,11.42,17,24,28
247,i,0.0,0.0,4.3,589,343.0,0,0.0,-2,2.0,0.1,567,209.0,0,0,0.0,625.0,234.0,0,0,0.0,563.0,196.0,0.0,0.0,0.0,11027,7,12956,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0,224.0,0.0,611.0,229.0,0.0,582.0,216.0,0.0,617.0,226.0,,,,23,,Dário,Luís Essugo,D.Essugo,Knock - Expected back 21 Feb,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
766,a,,,4.0,707,196.0,0,0.0,0,0.0,0.0,697,239.0,0,0,0.0,602.0,232.0,0,0,0.0,526.0,213.0,0.0,0.0,0.0,1245,26,457,12,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,231.0,0.0,585.0,232.0,0.0,551.0,226.0,0.0,593.0,231.0,,,,23,,Saheed,Olagunju,Olagunju,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
767,a,,,4.5,488,301.0,0,0.0,0,0.0,0.0,759,329.0,0,0,0.0,721.0,302.0,0,0,0.0,671.0,269.0,0.0,0.0,0.0,679,0,344,3,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.0,300.0,0.0,714.0,300.0,0.0,697.0,295.0,0.0,719.0,300.0,,,,23,,Luke,Rawlings,Rawlings,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
777,a,,,4.5,448,269.0,0,0.0,0,0.0,0.0,774,339.0,0,0,0.0,691.0,279.0,0,0,0.0,640.0,245.0,0.0,0.0,0.0,318,3,92,4,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.0,274.0,0.0,683.0,276.0,0.0,663.0,268.0,0.0,687.0,275.0,,,,23,,Temple,Ojinnaka,Ojinnaka,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
778,a,,,4.5,480,295.0,0,0.0,0,0.0,0.0,750,324.0,0,0,0.0,713.0,296.0,0,0,0.0,663.0,263.0,0.0,0.0,0.0,714,12,231,4,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.0,294.0,0.0,706.0,294.0,0.0,689.0,289.0,0.0,711.0,294.0,,,,23,,Ethan,Sutherland,Sutherland,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
1,a,,,5.9,93,1.0,0,0.0,4,-4.0,33.3,6,1.0,92,0,4.2,59.0,4.0,4,371,2.8,125.0,13.0,0.5,15.6,0.0,3430738,6767,1903513,4736,3.8,3.8,0.0,0.04,0.04,15.77,0.0,0.0,0.0,0.72,326.4,110.0,16.0,20.3,374.0,3.0,0.0,791.0,91.0,34.7,265.0,16.0,,,,23,,David,Raya Martín,Raya,,,1980,0,0,11,14,0,0,0,1,0,32,22,94,,,,1.45,0.5,0.64,1.0,0.0,1,18,175
2,a,,,4.1,643,38.0,0,0.0,-4,4.0,0.4,271,37.0,0,0,0.0,612.0,81.0,0,0,0.0,536.0,76.0,0.0,0.0,0.0,12887,21,73074,44,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,81.0,0.0,595.0,70.0,0.0,562.0,55.0,0.0,604.0,81.0,,,,23,,Kepa,Arrizabalaga Revuelta,Arrizabalaga,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
