id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
296,Nathan,Patterson,Patterson,a,,,4.4,528,113.0,0.0,606,217.0,2.4,141.0,50.0,1,0,0.0,-1,1.0,16,32,0.5,4.8,2.4,2.4,3.5,119.0,43.0,100.0,100.0,371.0,143.0,423.0,155.0,366.0,129.0,409.0,148.0,,,,,,,,0.01,0.02,0.03,1.35,0.0,0.76,0.38,1.14,11.39,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,29,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1
297,Roman,Dixon,Dixon,a,,,3.8,788,244.0,0.2,380,139.0,0.0,423.0,163.0,0,0,0.0,-2,2.0,9,14,0.0,0.0,0.0,0.0,0.0,507.0,184.0,,,496.0,183.0,485.0,182.0,447.0,173.0,496.0,182.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
298,Reece,Welch,Welch,a,,,3.8,786,242.0,0.1,422,158.0,0.0,421.0,161.0,0,0,0.0,-2,2.0,7,12,0.0,0.0,0.0,0.0,0.0,505.0,182.0,,,494.0,181.0,483.0,180.0,445.0,171.0,494.0,180.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
299,Iliman,Ndiaye,Ndiaye,a,,,6.2,75,49.0,4.1,84,28.0,0.8,301.0,136.0,2,0,0.0,-3,3.0,1230,1052,0.1,12.4,0.8,0.8,4.3,48.0,20.0,100.0,100.0,99.0,32.0,85.0,63.0,51.0,30.0,60.0,40.0,,,1.0,,,,,0.2,0.18,0.38,1.29,0.0,0.35,1.24,1.06,9.75,24,2,90,0,0,0,1,0,0,0,0,0,0,1,0,10,2804,2037,0.0,0.0,0.009999999999999787,0.009999999999999787,1.2899999999999991,0.0,0.0,0.0,0.0,5,1,5,11
300,Dwight,McNeil,McNeil,a,,,5.5,146,91.0,0.2,384,129.0,1.8,200.0,88.0,0,0,0.0,-5,5.0,25,147,0.3,5.3,1.8,1.8,2.1,315.0,140.0,,,352.0,157.0,185.0,123.0,303.0,159.0,318.0,153.0,,,,,,,,0.07,0.1,0.17,1.78,0.0,0.44,0.59,1.02,7.76,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
301,Carlos,Alcaraz Durán,Alcaraz,a,,,5.2,218,135.0,0.1,498,175.0,0.2,399.0,184.0,1,0,0.0,-3,3.0,12,4,0.0,5.0,0.2,0.2,1.6,384.0,171.0,100.0,100.0,346.0,153.0,168.0,114.0,135.0,79.0,257.0,125.0,,,,,,,,0.14,0.06,0.2,1.76,0.0,0.4,1.08,0.81,8.64,24,1,11,0,0,0,0,0,0,0,0,0,0,0,0,7,14,36,0.0,0.0,0.010000000000000009,0.010000000000000009,0.02999999999999936,0.0,0.0,0.0,0.0,1,0,3,4
302,Idrissa Gana,Gueye,Gana,a,,,5.4,157,98.0,0.1,490,172.0,1.6,222.0,95.0,2,0,0.0,-1,1.0,50,18,0.3,9.6,1.6,1.6,3.5,123.0,57.0,100.0,100.0,193.0,83.0,164.0,110.0,176.0,102.0,200.0,106.0,,,,,,,,0.09,0.06,0.15,1.37,0.0,0.22,1.11,1.11,9.22,24,2,79,0,0,0,1,0,0,0,0,0,0,1,0,8,82,23,0.0,0.0,0.020000000000000018,0.020000000000000018,1.2600000000000016,0.0,0.0,0.0,0.0,0,1,1,2
303,James,Garner,Garner,a,,,5.2,212,132.0,4.6,79,27.0,4.0,45.0,20.0,4,0,0.0,2,-2.0,3073,2557,0.8,20.2,4.0,4.0,4.4,38.0,16.0,,,21.0,6.0,20.0,19.0,118.0,69.0,31.0,25.0,3.0,3.0,,,,,,0.07,0.13,0.2,1.45,0.0,0.38,1.13,1.0,12.42,24,4,90,0,0,0,1,0,0,0,0,0,0,1,0,14,4553,4624,0.0,0.0,0.06999999999999984,0.07000000000000028,1.2899999999999991,0.0,0.0,0.0,0.0,6,4,8,18
304,Tim,Iroegbunam,Iroegbunam,a,,,4.8,367,229.0,0.0,616,238.0,2.2,161.0,71.0,0,0,0.0,-2,2.0,4,14,0.5,10.2,2.2,0.6,2.7,232.0,99.0,100.0,25.0,257.0,111.0,256.0,155.0,298.0,155.0,296.0,143.0,,,,,,,,0.03,0.06,0.09,1.45,0.0,0.68,0.87,1.06,12.15,24,0,10,0,0,0,0,0,0,0,1,0,0,0,0,155,4,21,0.0,0.0,0.0,0.0,0.02999999999999936,0.0,0.0,0.0,0.0,0,1,1,2
305,Harrison,Armstrong,Armstrong,a,,,4.5,492,302.0,0.1,539,192.0,2.2,159.0,69.0,2,0,0.0,0,0.0,68,14,0.5,2.7,2.2,2.2,2.0,322.0,142.0,100.0,100.0,412.0,183.0,347.0,182.0,382.0,192.0,414.0,186.0,,,,,,,,0.0,0.04,0.04,1.36,0.0,0.29,1.15,1.15,9.46,24,2,79,0,0,0,1,0,0,0,0,0,0,1,0,11,99,20,0.0,0.0,0.010000000000000009,0.010000000000000009,1.2600000000000002,0.0,0.0,0.0,0.0,3,2,5,10
