player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
510,25-26-efl-cup-nottingham-forest-vs-swansea-city,45,0,0,1,0.05,0.0,0,0,0,3,38,25,0.0,0.0,1,0,0.0,0,0.0,0,0,2,1,2,2,0,4,0,3,0.0,1,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,46,97,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
699,25-26-efl-cup-nottingham-forest-vs-swansea-city,62,0,0,0,0.0,0.23,0,0,0,2,48,31,0.0,1.0,5,0,0.0,1,0.0,0,0,3,0,2,1,0,5,0,5,0.0,0,0.0,4,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,62,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,25-26-efl-cup-nottingham-forest-vs-swansea-city,28,0,0,2,0.17,0.08,1,0,1,4,17,9,0.0,2.0,0,2,0.0,0,0.0,0,0,0,0,0,0,0,1,1,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.19,1,62,97,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514,25-26-efl-cup-nottingham-forest-vs-swansea-city,90,0,0,1,0.03,0.0,0,0,0,1,70,64,0.0,0.0,0,0,0.0,1,0.0,0,0,4,0,3,3,1,3,3,0,0.0,3,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,97,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,25-26-efl-cup-nottingham-forest-vs-swansea-city,45,2,0,2,0.99,0.28,2,1,0,8,20,9,0.0,1.0,1,0,0.0,0,0.0,0,0,1,0,0,0,0,2,4,2,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,1.63,1,0,46,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
693,25-26-efl-cup-nottingham-forest-vs-swansea-city,90,0,1,2,0.33,1.36,0,3,0,7,51,23,0.0,2.0,0,0,0.0,0,0.0,0,0,5,0,0,0,2,6,7,6,0.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,97,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
734,25-26-efl-cup-nottingham-forest-vs-swansea-city,62,0,0,0,0.0,0.33,0,1,0,1,37,25,0.0,2.0,4,0,0.0,1,0.0,0,0,2,0,0,0,0,2,2,2,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,62,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,25-26-efl-cup-nottingham-forest-vs-swansea-city,84,0,0,2,0.69,0.57,0,0,1,4,52,29,0.0,3.0,3,2,0.0,0,0.0,0,0,2,2,0,0,2,2,3,2,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,0,84,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515,25-26-efl-cup-nottingham-forest-vs-swansea-city,28,0,0,1,0.02,0.04,0,0,0,1,32,22,0.0,0.0,4,0,0.0,1,0.0,0,0,5,2,0,0,0,1,2,0,0.0,1,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,62,97,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
716,25-26-efl-cup-nottingham-forest-vs-swansea-city,90,0,0,0,0.0,0.02,0,0,0,1,78,50,0.0,0.0,7,0,0.0,0,0.0,0,1,0,0,0,0,1,3,5,2,0.0,1,0.0,0,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,0,97,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
