id,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,yellow_cards,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,added,chance_of_playing_next_round,chance_of_playing_this_round,code,draft_rank,dreamteam_count,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,news_return,news_updated,points_per_game,second_name,squad_number,status,total_points,web_name,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,element_type,team
17,9,11,529,11,968.7,21,3,198.8,524.6,2321,0,0,0,0,0,493.0,4,26,4.85,6.68,11.53,22.16,2025-07-20T23:14:20.892944Z,,,184029,17,0,3.1,,0,Martin,0.0,False,,,,,3.9,Ødegaard,,a,116,Ødegaard,113,46,7,7,63,43,32,25,645.0,286.0,56.0,28.0,,,,,,,3,1
18,5,12,425,6,475.1,28,7,195.3,479.2,2028,0,0,0,0,0,998.0,3,27,9.62,2.86,12.48,29.55,2025-07-20T23:14:20.895606Z,,,248857,39,0,2.8,,0,Noni,0.0,False,,,,,3.8,Madueke,,a,120,Madueke,130,54,73,59,11,5,37,29,627.0,276.0,63.0,31.0,,,,,,,3,1
19,4,6,422,10,587.8,25,8,206.1,559.8,2284,0,0,0,0,0,912.0,1,25,7.13,4.46,11.59,26.22,2025-07-20T23:14:20.898296Z,,,444145,43,0,2.8,,0,Gabriel,0.0,False,,,,,3.8,Martinelli Silva,,a,125,Martinelli,103,41,51,44,16,8,26,21,630.0,278.0,64.0,32.0,,,,,,,3,1
20,8,18,561,11,617.6,27,8,202.1,609.0,2546,0,0,0,1,0,798.0,2,28,6.74,4.12,10.86,24.76,2025-07-20T23:14:20.901062Z,75.0,,116216,42,0,2.8,,0,Leandro,0.0,False,Groin Injury - 75% chance of playing,2025-08-10T18:00:05.270079Z,,,4.0,Trossard,,d,152,Trossard,84,33,49,42,25,14,29,23,620.0,269.0,45.0,23.0,,,,,,,3,1
21,7,17,627,11,959.6,29,4,208.8,733.0,2823,0,0,0,1,0,399.0,5,33,3.51,5.64,9.14,27.13,2025-07-20T23:14:20.903755Z,,,204480,48,0,2.7,,0,Declan,0.0,False,,,,,3.6,Rice,,a,127,Rice,44,12,9,9,80,56,24,19,594.0,250.0,79.0,39.0,,,,,,,3,1
22,2,8,326,4,265.8,17,7,123.3,456.8,1575,0,0,0,1,0,511.0,2,17,5.75,1.18,6.93,15.71,2025-07-20T23:14:20.906379Z,,,195384,98,0,2.6,,0,Mikel,0.0,False,,,,,3.3,Merino Zazón,,a,92,Merino,136,57,137,96,58,40,99,65,562.0,230.0,112.0,53.0,,,,,,,3,1
23,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2025-07-20T23:14:20.909051Z,,,438098,205,0,2.5,,0,Fábio,0.0,False,,,,,0.0,Ferreira Vieira,,a,0,Fábio Vieira,656,290,656,290,653,287,656,290,510.0,197.0,642.0,285.0,,,,,,,3,1
24,5,7,580,6,333.0,45,5,147.9,735.4,2820,0,0,0,1,0,409.0,8,34,4.23,1.38,5.61,44.54,2025-07-20T23:14:20.911699Z,,,128295,149,0,2.5,,0,Christian,0.0,False,,,,,3.1,Nørgaard,,a,107,Nørgaard,42,11,105,76,75,52,74,52,468.0,170.0,127.0,60.0,,,,,,,3,1
25,2,4,251,4,282.8,4,4,83.0,293.2,882,0,0,0,0,0,255.0,1,11,1.19,1.78,2.97,5.38,2025-07-20T23:14:20.914345Z,,,499175,153,0,2.5,,0,Ethan,0.0,False,,,,,2.5,Nwaneri,,a,66,Nwaneri,203,96,130,91,115,79,161,89,532.0,209.0,189.0,81.0,,,,,,,3,1
26,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2025-07-20T23:14:20.916946Z,,,481655,139,0,2.5,,0,Martín,0.0,False,,,,,0.0,Zubimendi Ibáñez,,a,0,Zubimendi,660,293,660,293,658,291,660,293,525.0,206.0,645.0,288.0,,,,,,,3,1
27,1,2,143,1,223.9,9,1,55.1,131.6,483,0,0,0,0,0,195.0,1,5,1.07,0.96,2.03,6.13,2025-07-20T23:14:20.919559Z,,,200641,284,0,2.0,,0,Reiss,0.0,False,,,,,2.2,Nelson,,a,27,Nelson,287,136,158,110,156,102,226,120,356.0,99.0,220.0,96.0,,,,,,,3,1
