id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
8,Jurriën,Timber,J.Timber,a,,,6.3,69,2.0,27.4,11,4.0,4.3,47.0,14.0,6,0,0.0,8,-8.0,82285,52372,0.7,16.5,5.3,4.8,5.2,12.0,4.0,100.0,100.0,71.0,31.0,66.0,13.0,42.0,1.0,41.0,3.0,,,,,,,,0.22,0.05,0.27,0.62,0.0,0.49,0.66,0.99,5.71,21,6.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,107115.0,119727.0,0.0,0.0,0.020000000000000018,0.020000000000000462,0.3600000000000012,11.0,3.6999999999999886,8.0,2.299999999999997,0.0,5.0,3.0,5.0
17,Martin,Ødegaard,Ødegaard,a,,,7.8,17,12.0,2.5,117,39.0,4.8,30.0,16.0,3,0,0.0,-2,2.0,12201,8422,0.6,6.2,5.8,5.3,3.2,164.0,72.0,100.0,100.0,190.0,81.0,32.0,31.0,149.0,88.0,87.0,53.0,4.0,,3.0,,,,,0.09,0.22,0.31,1.1,0.0,0.41,0.83,1.14,7.14,21,3.0,77.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,20349.0,14607.0,0.0,0.0,0.040000000000000036,0.040000000000000036,0.3000000000000007,4.200000000000017,14.699999999999989,4.0,2.299999999999997,0.0,1.0,1.0,2.0
18,Noni,Madueke,Madueke,a,,,6.8,45,28.0,0.7,222,77.0,0.7,331.0,149.0,1,0,0.0,-2,2.0,777,1681,0.1,2.9,1.7,1.2,1.7,362.0,160.0,100.0,100.0,364.0,161.0,144.0,99.0,106.0,63.0,225.0,113.0,3.0,,,,,,,0.1,0.25,0.35,1.22,0.0,0.53,0.89,1.07,4.81,21,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1060.0,2707.0,0.0,0.0,0.05999999999999983,0.05999999999999983,0.0600000000000005,2.0,14.5,4.0,2.0999999999999943,0.0,0.0,0.0,0.0
19,Gabriel,Martinelli Silva,Martinelli,a,,,6.8,46,29.0,0.8,195,66.0,1.2,282.0,127.0,0,0,0.0,-2,2.0,1523,1604,0.2,4.1,2.2,1.7,1.8,350.0,154.0,100.0,100.0,348.0,154.0,267.0,159.0,112.0,65.0,282.0,138.0,,,,,,,,0.36,0.03,0.39,0.96,0.0,0.36,0.54,1.08,4.86,21,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2017.0,2474.0,0.0,0.020000000000000018,0.009999999999999981,0.029999999999999805,0.15000000000000036,4.200000000000003,0.5999999999999943,17.0,2.1999999999999993,0.0,0.0,0.0,0.0
20,Leandro,Trossard,Trossard,a,,,6.9,41,25.0,1.8,145,50.0,3.7,88.0,40.0,2,-1,1.0,-1,1.0,8327,16985,0.5,11.6,4.7,4.2,4.7,30.0,13.0,100.0,100.0,97.0,31.0,45.0,39.0,35.0,21.0,37.0,28.0,,,4.0,,,,,0.33,0.16,0.49,0.66,0.0,0.48,0.72,0.96,5.66,21,2.0,63.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,13298.0,35559.0,0.0,0.08999999999999986,0.050000000000000044,0.13999999999999968,0.21000000000000085,2.400000000000034,1.6999999999999886,9.0,1.2999999999999972,2.0,0.0,3.0,5.0
23,Fábio,Ferreira Vieira,Fábio Vieira,u,has joined Hamburger on loan for the rest of the season.,,5.4,169,105.0,0.0,664,274.0,0.0,764.0,337.0,0,0,0.0,-1,1.0,0,7,0.0,0.0,0.0,0.0,0.0,775.0,341.0,0.0,0.0,775.0,341.0,774.0,341.0,770.0,340.0,775.0,341.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Christian,Nørgaard,Nørgaard,a,,,5.1,225,138.0,0.1,426,142.0,0.2,408.0,189.0,0,0,0.0,-4,4.0,106,185,0.0,0.6,1.2,0.7,1.0,467.0,218.0,100.0,100.0,430.0,193.0,451.0,219.0,390.0,193.0,441.0,200.0,,,,,,,,0.15,0.0,0.15,6.27,0.0,0.0,2.9,0.0,23.23,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Martín,Zubimendi Ibáñez,Zubimendi,a,,,5.2,216,133.0,2.2,126,42.0,3.7,81.0,36.0,5,0,0.0,-3,3.0,3647,6415,0.7,14.8,4.7,4.2,3.7,104.0,44.0,100.0,100.0,72.0,22.0,62.0,50.0,132.0,78.0,72.0,46.0,,,,,,,,0.1,0.07,0.17,0.74,0.0,0.51,0.66,1.02,9.2,21,5.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,5369.0,11435.0,0.0,0.0,0.10999999999999988,0.10999999999999988,0.35999999999999943,17.80000000000001,3.8000000000000114,2.0,2.4000000000000057,5.0,2.0,5.0,12.0
28,Ismeal,Kabia,Kabia,u,has joined Shrewsbury Town on loan for the rest of the season.,,4.5,475,290.0,0.1,465,156.0,0.0,665.0,266.0,0,0,0.0,0,0.0,0,61,0.0,0.0,0.0,0.0,0.0,707.0,291.0,0.0,0.0,706.0,290.0,701.0,290.0,685.0,285.0,706.0,290.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Albert,Sambi Lokonga,Sambi,u,has joined Hamburger permanently.,,4.5,417,249.0,0.1,568,207.0,0.0,626.0,234.0,0,0,0.0,0,0.0,0,22,0.0,0.0,0.0,0.0,0.0,670.0,261.0,0.0,0.0,664.0,256.0,662.0,259.0,641.0,250.0,667.0,258.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Kai,Havertz,Havertz,a,,,7.3,25,9.0,0.3,294,50.0,0.0,792.0,87.0,0,0,0.0,-2,2.0,667,347,0.0,0.1,1.0,0.5,1.0,478.0,59.0,100.0,100.0,457.0,52.0,444.0,54.0,425.0,58.0,463.0,57.0,,,,,,,,0.0,0.03,0.03,2.46,0.0,0.0,0.0,0.0,9.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.0,459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Gabriel,Fernando de Jesus,G.Jesus,a,,,6.4,56,20.0,0.3,335,55.0,1.5,256.0,29.0,1,0,0.0,-1,1.0,2462,3292,0.2,1.4,2.5,2.0,1.5,388.0,44.0,100.0,100.0,375.0,39.0,413.0,50.0,208.0,40.0,354.0,41.0,,,,,,,,0.36,0.02,0.38,2.06,0.0,0.0,2.33,0.0,10.86,21,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3650.0,5490.0,0.0,0.12999999999999995,0.0,0.13,0.1499999999999999,2.0,0.2999999999999998,21.0,2.3000000000000007,0.0,0.0,0.0,0.0
266,Eberechi,Eze,Eze,a,,,7.3,27,18.0,9.2,49,18.0,0.3,375.0,171.0,1,-1,1.0,-2,2.0,2169,53880,0.0,9.2,1.3,0.8,4.2,64.0,29.0,,,169.0,65.0,146.0,101.0,52.0,33.0,98.0,56.0,,,,,,,,0.23,0.13,0.36,0.54,0.0,0.54,0.54,1.08,5.83,21,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2817.0,101839.0,0.0,0.0,0.0,0.0,0.05999999999999961,0.19999999999998863,0.30000000000001137,0.0,0.10000000000000853,0.0,0.0,1.0,1.0
666,Viktor,Gyökeres,Gyökeres,a,,,8.7,10,5.0,9.4,48,9.0,2.5,172.0,22.0,2,-1,1.0,-3,3.0,6927,16393,0.3,6.2,3.5,3.0,2.8,222.0,21.0,100.0,100.0,200.0,16.0,167.0,14.0,20.0,12.0,81.0,15.0,,,2.0,,,,,0.44,0.06,0.5,0.64,0.0,0.63,0.42,1.12,3.14,21,2.0,63.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,10294.0,26705.0,0.0,0.0,0.020000000000000018,0.020000000000000462,0.20999999999999908,1.4000000000000057,13.200000000000003,2.0,1.7000000000000028,0.0,0.0,1.0,1.0
700,Max,Dowman,Dowman,i,Ankle injury - Unknown return date,,4.3,609,353.0,0.3,305,102.0,0.0,582.0,210.0,0,0,0.0,-2,2.0,451,1726,0.0,1.2,0.0,0.0,2.5,244.0,106.0,0.0,0.0,469.0,216.0,442.0,214.0,330.0,173.0,438.0,198.0,,,,,,,,0.47,0.07,0.54,0.4,0.0,0.0,0.0,0.0,10.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0,2374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
725,Piero,Hincapié,Hincapie,d,Muscle injury - 75% chance of playing,,5.3,198,26.0,1.4,157,61.0,3.2,117.0,44.0,1,0,0.0,-2,2.0,2120,17889,0.6,6.6,3.2,3.7,2.9,203.0,80.0,75.0,100.0,213.0,87.0,290.0,96.0,350.0,119.0,295.0,97.0,,,,,,,,0.0,0.07,0.07,0.96,0.0,0.2,0.91,1.01,8.1,21,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3513.0,37790.0,0.0,0.0,0.010000000000000009,0.010000000000000009,0.1399999999999988,3.1999999999999886,1.7999999999999972,2.0,0.7000000000000028,1.0,2.0,2.0,3.0
